Lansuse-vegetation parameters
code, coverage, LAImax, kcrop,roote-depth(m), soil-anitropic-ration, Surface-storage(mm), landuse-type
1,    0.0,    3.3,    0.95,   0.0,    1.0,     0.0,   0.02
2,    0.2,    3.3,    0.8,    0.5,    1.0,     10.0,   1.0
3,    0.05,   3.3,    0.8,    0.3,    1.0,     15.0,   1.0
4,    0.8,    8.0,    0.75,   1.0,    5.0,     25.0,   0.2
5,    0.9,    3.3,    0.8,    0.5,    1.0,     15.0,   0.1
6,    0.9,    3.3,    0.8,    0.5,    1.0,     25.0,   0.1
7,    0.8,    3.3,    0.8,    0.3,    5.0,     20.0,   0.1
8,    0.7,    4.8,    0.75,   1.0,    3.0,     20.0,   0.2
9,    0.5,    3.3,    0.85,   0.5,    1.0,     10.0,   0.1
10,   0.0,    3.3,    0.15,   0.3,    3.0,      0.0,   0.1
