rain_adj,rain_adj,rain_adj,rain_adj,rain_adj,rain_adj,rain_adj,rain_adj,rain_adj,rain_adj,rain_adj,rain_adj
0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006
0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976
0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976
0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014
0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014,0.860000014
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976
0.779999971,0.779999971,0.779999971,0.779999971,0.779999971,0.779999971,0.779999971,0.779999971,0.779999971,0.779999971,0.779999971,0.779999971
0.74000001,0.74000001,0.74000001,0.74000001,0.74000001,0.74000001,0.74000001,0.74000001,0.74000001,0.74000001,0.74000001,0.74000001
1,1,1,1,1,1,1,1,1,1,1,1
0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976
0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976
1,1,1,1,1,1,1,1,1,1,1,1
0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976
1,1,1,1,1,1,1,1,1,1,1,1
1.080000043,1.080000043,1.080000043,1.080000043,1.080000043,1.080000043,1.080000043,1.080000043,1.080000043,1.080000043,1.080000043,1.080000043
1,1,1,1,1,1,1,1,1,1,1,1
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976
