snow_adj,snow_adj,snow_adj,snow_adj,snow_adj,snow_adj,snow_adj,snow_adj,snow_adj,snow_adj,snow_adj,snow_adj
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024
0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024
1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057
1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943
1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976
1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976,1.149999976
1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057
1.379999995,1.379999995,1.379999995,1.379999995,1.379999995,1.379999995,1.379999995,1.379999995,1.379999995,1.379999995,1.379999995,1.379999995
1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057,1.190000057
1.049999952,1.049999952,1.049999952,1.049999952,1.049999952,1.049999952,1.049999952,1.049999952,1.049999952,1.049999952,1.049999952,1.049999952
1,1,1,1,1,1,1,1,1,1,1,1
1.539999962,1.539999962,1.539999962,1.539999962,1.539999962,1.539999962,1.539999962,1.539999962,1.539999962,1.539999962,1.539999962,1.539999962
1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048
1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952
1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057,1.440000057
1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952,1.299999952
1.679999948,1.679999948,1.679999948,1.679999948,1.679999948,1.679999948,1.679999948,1.679999948,1.679999948,1.679999948,1.679999948,1.679999948
1.639999986,1.639999986,1.639999986,1.639999986,1.639999986,1.639999986,1.639999986,1.639999986,1.639999986,1.639999986,1.639999986,1.639999986
1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019,1.480000019
0.660000026,0.660000026,0.660000026,0.660000026,0.660000026,0.660000026,0.660000026,0.660000026,0.660000026,0.660000026,0.660000026,0.660000026
1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943,1.309999943
