tmax_lapse,tmin_lapse,adjmix_rain,tmax_allrain,dday_intcp,dday_slope,ppt_rad_adj,tmax_index,jh_coef,epan_coef,tstorm_mo,cecn_coef
3.200000048,3.200000048,0.5,60,-10,0.400000006,0.02,50,0.005,1,0,5
4.199999809,4.199999809,0.600000024,60,-10,0.400000006,0.02,50,0.005,1,0,5
4.900000095,4.900000095,0.699999988,60,-10,0.400000006,0.02,50,0.005,1,0,5
5.300000191,5.300000191,1,50,-10,0.400000006,0.02,50,0.005,1,0,5
5.699999809,5.699999809,1,50,-10,0.400000006,0.02,50,0.005,1,1,5
5.800000191,5.800000191,1,50,-10,0.400000006,0.02,50,0.005,1,1,5
6.300000191,6.300000191,1,40,-10,0.400000006,0.02,50,0.005,1,1,5
4,4,1,40,-10,0.400000006,0.02,50,0.005,1,1,5
4.900000095,4.900000095,1,40,-10,0.400000006,0.02,50,0.005,1,1,5
4.199999809,4.199999809,1,50,-10,0.400000006,0.02,50,0.005,1,1,5
3.299999952,3.299999952,1,60,-10,0.400000006,0.02,50,0.005,1,0,5
3,3,0.5,60,-10,0.400000006,0.02,50,0.005,1,0,5
