时间,游客量,黑龙江,吉林,辽宁,河北,内蒙古,天津,北京,山东,山西,陕西,甘肃,宁夏,青海,新疆,西藏,四川,湖北,湖南,河南,安徽,江苏,江西,浙江,上海,福建,广东,重庆,广西,云南,贵州,海南
11,2,380.378,785,464,1014,1315,530,1098,2839,1901,815,2954,3770,883,535,684,104,1821,1031,905,1777,956,1960,627,1833,1689,818,2331,779,664,647,344,288
11,3,264.247,1297,942,1819,2464,1327,1551,3706,2784,1936,3755,4984,1800,936,1369,168,2386,1550,1532,2582,1556,2884,939,2914,2744,2112,2914,1432,1390,976,607,752
11,4,380.84,1759,1430,2462,2474,1725,2361,4097,2976,2957,4075,6185,2687,1874,2201,288,2969,2768,2656,2928,1972,3058,1517,3359,3351,2668,3601,2176,1725,1312,1278,424
11,5,731.88,1818,1453,2991,2797,1742,2287,3884,3282,2420,4071,6602,2569,1935,1819,200,3423,3112,2479,3007,2125,3355,1595,3341,3371,2141,3667,2277,1503,1442,1123,912
11,6,705.53,1894,2202,2806,2988,1939,2744,4225,3354,2937,3983,5940,2280,2114,1808,183,3459,3157,2504,3171,2187,3467,1225,3644,3490,2582,3630,2660,1941,1408,1220,1173
11,7,747.665,2310,1787,2969,3519,2367,3034,4651,3772,3674,4425,6508,2846,1992,2383,424,3862,3371,3069,3737,2796,3972,1915,3944,3700,2787,3877,2692,2438,1652,1828,1122
11,8,1071.89,2072,1515,3133,2767,2244,2357,4372,3693,3452,4433,6341,2717,1891,2452,152,3559,3119,3217,3672,2903,3690,1923,3518,3390,2736,3455,2691,2034,1584,1596,869
11,9,550.539,2094,1470,2975,2881,2179,2392,4128,3391,2939,4065,5421,2556,1979,2075,168,3616,2898,2718,3363,2583,3339,1701,3377,2985,1927,3508,2220,1554,1840,1070,704
11,10,578,925,1045,2301,2342,2024,1649,3423,2674,1648,3650,5568,2025,1312,1473,192,2859,2119,2317,2624,1546,2484,973,2550,2504,1801,3119,1390,1365,1245,1010,416
11,11,147.97,632,568,1572,899,744,1147,2528,1737,1345,2182,3745,495,296,807,112,1773,996,1182,1161,744,1554,871,1978,1799,1052,2086,580,962,480,428,240
11,12,125.822,862,312,969,1153,208,1142,2644,1645,825,1963,3929,528,488,928,144,1748,912,1046,1029,736,1381,384,1919,2008,866,2161,712,592,695,312,184
12,1,389.21,774,512,948,1132,872,624,2334,1668,792,1714,3545,488,208,1064,56,1438,846,392,1208,696,1717,352,1371,1631,995,1775,728,432,576,312,88
12,2,375.852,1231,1039,2061,2108,1043,1339,3001,2199,1669,3022,4031,791,432,1148,96,2197,1600,1510,2019,940,2574,800,2273,2349,1034,2666,1279,1449,919,360,256
12,3,327.391,1757,1328,2538,2567,1581,1983,3862,3020,2277,3709,5350,1257,969,1401,72,2895,2298,1836,2553,1997,3183,905,3330,2744,1656,3013,1506,1625,1470,839,416
12,4,527,1375,1116,2442,3119,2287,2496,3825,3086,2563,4099,6209,2422,1866,2102,176,2993,2565,1833,2659,2190,2984,1283,3381,3189,1878,3304,2243,1498,1522,939,759
12,5,965.44,2156,1831,2788,3549,1636,2424,4115,3544,2927,4084,5962,2206,1624,1471,376,3237,2750,2683,3166,2625,3672,1353,3563,3452,2201,3474,2712,1998,1358,1226,536
12,6,940.7793,2321,2108,2812,3289,2091,2821,4086,3712,2754,3921,5531,1874,1985,1542,72,3420,2884,2321,2984,2645,3623,2141,3676,3382,2329,3428,2633,2030,1304,1573,696
12,7,960.343,2063,1913,2584,3197,2118,2915,4323,3562,3078,4189,5889,2245,1748,1806,200,3708,3252,2849,3422,2510,3813,1828,3451,3410,2439,3239,2828,1884,1772,1607,806
12,8,1346.56,2053,1731,3079,3427,2259,2684,4345,3827,3453,4077,5590,2476,1728,1812,520,3608,2976,2695,3383,2768,3598,1465,3455,3212,2537,3235,2527,1803,1616,1257,552
12,9,846.057,2093,1842,2926,3183,2929,2745,4819,3749,3074,5116,5990,2882,2269,2260,346,3487,3059,2925,3812,2644,3607,1460,3765,3136,2233,3682,2719,2080,1581,1588,735
